Time (s),Temperature (C),Position (m)
12630,78.4,0.169
12640,78.3,0.168
12650,78.4,0.169
12660,78.4,0.171
12670,78.4,0.167
12680,78.5,0.169
12690,78.5,0.171
12700,78.5,0.172
12710,78.5,0.171
12720,78.5,0.164
12730,78.6,0.166
12740,78.5,0.17
12750,78.5,0.166
12760,78.4,0.168
12770,78.4,0.168
12780,78.5,0.167
12790,78.4,0.171
12800,78.3,0.168
12810,78.3,0.17
12820,78.4,0.166
12830,78.4,0.166
12840,78.5,0.17
12850,78.5,0.167
12860,78.5,0.165
12870,78.5,0.168
12880,78.7,0.171
12890,78.8,0.173
12900,78.7,0.166
12910,78.7,0.165
12920,78.7,0.168
12930,78.7,0.168
12940,78.8,0.169
12950,78.7,0.168
12960,78.7,0.167
